id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
1,Aarons Pass,,NSW,New South Wales,2850,Rural locality,-32.86328,149.80375,804,22,29900,82.764,Mid-Western Regional (Area),Central West,Australia/Sydney
2,Abba River,,WA,Western Australia,6280,Rural locality,-33.68488,115.46334,23,68,35100,28.516,Busselton (City),Bunbury,Australia/Perth
3,Abbey,Busselton,WA,Western Australia,6280,Suburb,-33.66077,115.25863,7,1275,34580,2.644,Busselton (City),Bunbury,Australia/Perth
4,Abbeyard,,VIC,Victoria,3737,Rural locality,-36.96978,146.75244,415,0,0,327.501,Alpine (Shire),Hume,Australia/Melbourne
5,Abbeywood,,QLD,Queensland,4613,Rural locality,-26.10688,151.6288,429,23,16484,35.035,South Burnett (Regional Council),Wide Bay,Australia/Brisbane
6,Abbotsbury,Sydney,NSW,New South Wales,2176,Suburb,-33.87754,150.86777,80,4253,37492,4.979,Fairfield (City),Sydney - South West,Australia/Sydney
7,Abbotsford,Sydney,NSW,New South Wales,2046,Suburb,-33.85247,151.12945,24,5373,50180,1.018,Canada Bay (Area),Sydney - Inner West,Australia/Sydney
8,Abbotsford,,QLD,Queensland,4670,Rural locality,-24.84369,152.02491,75,3,42848,85.764,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
9,Abbotsford,Melbourne,VIC,Victoria,3067,Suburb,-37.80329,145.00043,25,8184,55536,1.741,Yarra (City),Melbourne - Inner,Australia/Melbourne
10,Abbotsham,,TAS,Tasmania,7315,Rural locality,-41.21131,146.17558,102,95,29900,8.155,Central Coast (Municipality),West and North West,Australia/Hobart
11,Abels Bay,,TAS,Tasmania,7112,Rural locality,-43.23333,147.09803,21,126,22672,5.211,Huon Valley (Municipality),South East,Australia/Hobart
12,Abercorn,,QLD,Queensland,4627,Rural locality,-25.13664,151.12935,200,46,24232,94.273,North Burnett (Regional Council),Wide Bay,Australia/Brisbane
13,Abercrombie,Bathurst,NSW,New South Wales,2795,Suburb,-33.38996,149.55047,661,1109,42276,2.978,Bathurst Regional (Area),Central West,Australia/Sydney
14,Abercrombie River,,NSW,New South Wales,2795,Rural locality,-33.91055,149.34763,757,22,23348,127.17,Bathurst Regional (Area),Central West,Australia/Sydney
15,Aberdare,Cessnock,NSW,New South Wales,2325,Suburb,-32.8442,151.37651,95,2473,26572,3.296,Cessnock (City),Hunter Valley exc Newcastle,Australia/Sydney
16,Aberdeen,,NSW,New South Wales,2336,Urban locality,-32.1624,150.89012,178,2084,31356,41.633,Upper Hunter Shire (Area),Hunter Valley exc Newcastle,Australia/Sydney
17,Aberdeen,,TAS,Tasmania,7310,Rural locality,-41.24112,146.32449,108,229,31876,4.229,Devonport (City),West and North West,Australia/Hobart
18,Aberfeldie,Melbourne,VIC,Victoria,3040,Suburb,-37.75669,144.89626,44,3897,45604,1.552,Moonee Valley (City),Melbourne - Inner,Australia/Melbourne
19,Aberfeldy,,VIC,Victoria,3825,Rural locality,-37.69657,146.36406,1076,0,0,10.832,Baw Baw (Shire),Latrobe - Gippsland,Australia/Melbourne
20,Aberfoyle,,NSW,New South Wales,2350,Rural locality,-30.24061,152.01293,1152,102,42900,340.479,Armidale Regional (Area),New England and North West,Australia/Sydney
21,Aberfoyle Park,Adelaide,SA,South Australia,5159,Suburb,-35.07628,138.59372,187,11039,34684,5.844,Onkaparinga (City),Adelaide - South,Australia/Adelaide
22,Aberglasslyn,Maitland,NSW,New South Wales,2320,Suburb,-32.69466,151.53461,39,5401,39416,6.216,Maitland (City),Hunter Valley exc Newcastle,Australia/Sydney
23,Abergowrie,,QLD,Queensland,4850,Rural locality,-18.47499,145.88579,53,438,31408,306.265,Hinchinbrook (Shire),Townsville,Australia/Brisbane
24,Abermain,Kurri Kurri,NSW,New South Wales,2326,Suburb,-32.81082,151.42867,34,2337,25896,15.382,Cessnock (City),Hunter Valley exc Newcastle,Australia/Sydney
25,Abernethy,,NSW,New South Wales,2325,Urban locality,-32.88324,151.39668,91,348,26364,8.403,Cessnock (City),Hunter Valley exc Newcastle,Australia/Sydney
26,Abingdon Downs,,QLD,Queensland,4892,Rural locality,-17.7998,143.43956,255,0,0,5052.028,Etheridge (Shire),Queensland - Outback,Australia/Brisbane
27,Abington,,NSW,New South Wales,2350,Rural locality,-30.29421,151.25027,740,12,54184,174.314,Uralla (Area),New England and North West,Australia/Sydney
28,Abington,,QLD,Queensland,4660,Rural locality,-25.20324,152.32893,61,60,27300,19.565,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
29,Acacia Creek,,NSW,New South Wales,2476,Rural locality,-28.37333,152.32088,607,42,23400,6.212,Tenterfield (Area),New England and North West,Australia/Sydney
30,Acacia Gardens,Sydney,NSW,New South Wales,2763,Suburb,-33.73355,150.91371,87,3798,47060,1.001,Blacktown (City),Sydney - Blacktown,Australia/Sydney
31,Acacia Hills,,NT,Northern Territory,822,Rural locality,-12.79565,131.12295,38,694,47528,127.309,Litchfield (Municipality),Darwin,Australia/Darwin
32,Acacia Hills,,TAS,Tasmania,7306,Rural locality,-41.28049,146.32495,143,623,33280,19.257,Kentish (Municipality),West and North West,Australia/Hobart
33,Acacia Ridge,Brisbane,QLD,Queensland,4110,Suburb,-27.58963,153.02787,39,7429,25896,8.664,Brisbane (City),Brisbane - South,Australia/Brisbane
34,Acheron,,VIC,Victoria,3714,Rural locality,-37.25243,145.70202,202,171,31096,72.66,Murrindindi (Shire),Hume,Australia/Melbourne
35,Acland,,QLD,Queensland,4401,Rural locality,-27.3037,151.6911,444,32,16900,38.179,Toowoomba (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
36,Acton,Canberra,ACT,Australian Capital Territory,2601,Suburb,-35.28732,149.11213,556,2086,9308,5.989,Unincorporated,Australian Capital Territory,Australia/Sydney
37,Acton,Burnie - Somerset,TAS,Tasmania,7320,Suburb,-41.07007,145.89399,152,1349,24284,0.954,Burnie (City),West and North West,Australia/Hobart
38,Acton Park,Hobart,TAS,Tasmania,7170,Suburb,-42.86574,147.46989,103,2078,43472,19.267,Clarence (City),Hobart,Australia/Hobart
39,Acton Park,,WA,Western Australia,6280,Rural locality,-33.77704,115.37437,53,102,39312,24.854,Busselton (City),Bunbury,Australia/Perth
40,Ada,,VIC,Victoria,3833,Rural locality,-37.84087,145.84969,669,0,0,61.67,Baw Baw (Shire),Latrobe - Gippsland,Australia/Melbourne
41,Adaminaby,,NSW,New South Wales,2629,Urban locality,-35.99735,148.76974,1022,301,28548,356.496,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
42,Adams Estate,,VIC,Victoria,3984,Rural locality,-38.42519,145.53186,83,59,34736,0.215,Bass Coast (Shire),Latrobe - Gippsland,Australia/Melbourne
43,Adamstown,Newcastle,NSW,New South Wales,2289,Suburb,-32.93254,151.72625,25,6044,36296,3.071,Newcastle (City),Newcastle and Lake Macquarie,Australia/Sydney
44,Adamstown Heights,Newcastle,NSW,New South Wales,2289,Suburb,-32.95098,151.7177,97,5299,39052,2.394,Newcastle (City),Newcastle and Lake Macquarie,Australia/Sydney
45,Adamsvale,,WA,Western Australia,6375,Rural locality,-32.24941,117.72485,298,31,84500,246.52,Corrigin (Shire),Western Australia - Wheat Belt,Australia/Perth
46,Adare,,QLD,Queensland,4343,Rural locality,-27.52154,152.28656,122,873,31772,39.049,Lockyer Valley (Regional Council),Toowoomba,Australia/Brisbane
47,Adavale,,QLD,Queensland,4474,Rural locality,-25.9119,144.70107,285,93,23400,21354.757,Quilpie (Shire),Queensland - Outback,Australia/Brisbane
48,Addington,,VIC,Victoria,3352,Rural locality,-37.38446,143.67251,464,71,22932,18.596,Ballarat (City),Ballarat,Australia/Melbourne
49,Adelaide,,SA,South Australia,5000,Major urban locality,-34.92577,138.59973,75,15115,24648,10.482,Adelaide (City),Adelaide - Central and Hills,Australia/Adelaide
50,Adelaide Airport,Adelaide,SA,South Australia,5950,Suburb,-34.93726,138.53916,11,0,0,7.295,West Torrens (City),Adelaide - West,Australia/Adelaide
51,Adelaide Lead,,VIC,Victoria,3465,Rural locality,-37.07467,143.67736,235,81,28912,38.503,Central Goldfields (Shire),Ballarat,Australia/Melbourne
52,Adelaide Park,,QLD,Queensland,4703,Rural locality,-23.11468,150.69673,63,424,28600,24.139,Livingstone (Shire),Central Queensland,Australia/Brisbane
53,Adelaide River,,NT,Northern Territory,846,Rural locality,-13.19095,131.1376,45,353,27404,146.738,Coomalie (Shire),Northern Territory - Outback,Australia/Darwin
54,Adelong,,NSW,New South Wales,2729,Urban locality,-35.30795,148.06368,338,943,26364,20.27,Snowy Valleys (Area),Riverina,Australia/Sydney
55,Adjungbilly,,NSW,New South Wales,2727,Rural locality,-35.08146,148.40992,513,81,42328,438.101,Cootamundra-Gundagai Regional (Area),Riverina,Australia/Sydney
56,Advancetown,,QLD,Queensland,4211,Rural locality,-28.03305,153.27963,55,482,38948,63.553,Gold Coast (City),Gold Coast,Australia/Brisbane
57,Adventure Bay,,TAS,Tasmania,7150,Rural locality,-43.35579,147.32612,16,195,22464,11.427,Kingborough (Municipality),South East,Australia/Hobart
58,Aeroglen,Cairns,QLD,Queensland,4870,Suburb,-16.88394,145.74673,6,403,43524,9.864,Cairns (Regional Council),Cairns,Australia/Brisbane
59,Afterlee,,NSW,New South Wales,2474,Rural locality,-28.59388,152.82575,238,50,23608,34.784,Kyogle (Area),Richmond - Tweed,Australia/Sydney
60,Agery,,SA,South Australia,5558,Rural locality,-34.1569,137.74281,105,96,38792,159.288,Yorke Peninsula (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
61,Agnes,,VIC,Victoria,3962,Rural locality,-38.67015,146.39615,21,57,22204,15.717,South Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
62,Agnes Banks,,NSW,New South Wales,2753,Rural locality,-33.61888,150.70737,27,911,40352,15.475,Penrith (City),Sydney - Outer West and Blue Mountains,Australia/Sydney
63,Agnes Water,,QLD,Queensland,4677,Urban locality,-24.21251,151.90335,25,2210,25636,40.262,Gladstone (Regional Council),Central Queensland,Australia/Brisbane
64,Ainslie,Canberra,ACT,Australian Capital Territory,2602,Suburb,-35.26215,149.14589,593,5189,53508,3.541,Unincorporated,Australian Capital Territory,Australia/Sydney
