"MEASURE","Data item","REGIONTYPE","Geography Level","LGA_2019","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","20110","Alpine (S)","A","Annual","2016","2016",87.5,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","20110","Alpine (S)","A","Annual","2016","2016",7.6,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","20110","Alpine (S)","A","Annual","2016","2016",36999,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","20110","Alpine (S)","A","Annual","2016","2016",38.2,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","20260","Ararat (RC)","A","Annual","2016","2016",83.5,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","20260","Ararat (RC)","A","Annual","2016","2016",3.7,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","20260","Ararat (RC)","A","Annual","2016","2016",40508,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","20260","Ararat (RC)","A","Annual","2016","2016",32.2,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","20570","Ballarat (C)","A","Annual","2016","2016",89.6,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","20570","Ballarat (C)","A","Annual","2016","2016",5.4,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","20570","Ballarat (C)","A","Annual","2016","2016",44699,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","20570","Ballarat (C)","A","Annual","2016","2016",45.3,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","20660","Banyule (C)","A","Annual","2016","2016",86.3,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","20660","Banyule (C)","A","Annual","2016","2016",21.7,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","20660","Banyule (C)","A","Annual","2016","2016",52743,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","20660","Banyule (C)","A","Annual","2016","2016",60.9,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","20740","Bass Coast (S)","A","Annual","2016","2016",88.1,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","20740","Bass Coast (S)","A","Annual","2016","2016",4.8,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","20740","Bass Coast (S)","A","Annual","2016","2016",37048,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","20740","Bass Coast (S)","A","Annual","2016","2016",36.6,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","20830","Baw Baw (S)","A","Annual","2016","2016",89.5,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","20830","Baw Baw (S)","A","Annual","2016","2016",4,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","20830","Baw Baw (S)","A","Annual","2016","2016",43928,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","20830","Baw Baw (S)","A","Annual","2016","2016",38.2,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","20910","Bayside (C)","A","Annual","2016","2016",85.4,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","20910","Bayside (C)","A","Annual","2016","2016",14.7,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","20910","Bayside (C)","A","Annual","2016","2016",56121,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","20910","Bayside (C)","A","Annual","2016","2016",68.1,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","21010","Benalla (RC)","A","Annual","2016","2016",89.5,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","21010","Benalla (RC)","A","Annual","2016","2016",2.8,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","21010","Benalla (RC)","A","Annual","2016","2016",41197,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","21010","Benalla (RC)","A","Annual","2016","2016",34.4,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","21110","Boroondara (C)","A","Annual","2016","2016",81.6,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","21110","Boroondara (C)","A","Annual","2016","2016",27.3,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","21110","Boroondara (C)","A","Annual","2016","2016",54004,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","21110","Boroondara (C)","A","Annual","2016","2016",74.8,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","21180","Brimbank (C)","A","Annual","2016","2016",77.3,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","21180","Brimbank (C)","A","Annual","2016","2016",58.4,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","21180","Brimbank (C)","A","Annual","2016","2016",43917,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","21180","Brimbank (C)","A","Annual","2016","2016",52.3,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","21270","Buloke (S)","A","Annual","2016","2016",88.8,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","21270","Buloke (S)","A","Annual","2016","2016",2.7,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","21270","Buloke (S)","A","Annual","2016","2016",33757,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","21270","Buloke (S)","A","Annual","2016","2016",30,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","21370","Campaspe (S)","A","Annual","2016","2016",89.9,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","21370","Campaspe (S)","A","Annual","2016","2016",2.9,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","21370","Campaspe (S)","A","Annual","2016","2016",41568,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","21370","Campaspe (S)","A","Annual","2016","2016",30.6,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","21450","Cardinia (S)","A","Annual","2016","2016",86.4,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","21450","Cardinia (S)","A","Annual","2016","2016",11.2,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","21450","Cardinia (S)","A","Annual","2016","2016",46938,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","21450","Cardinia (S)","A","Annual","2016","2016",44.6,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","21610","Casey (C)","A","Annual","2016","2016",80.6,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","21610","Casey (C)","A","Annual","2016","2016",35.8,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","21610","Casey (C)","A","Annual","2016","2016",47492,,
